AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AV (fdf),05.11.2013,AV,752/13,0,Erste Verordnung zur Ìãnderung der Schweinehaltungshygieneverordnung,2013;;;;;;
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AV (fdf),05.11.2013,AV,751/13,0,Verordnung zur Ìãnderung und Aufhebung tierzuchtrechtlicher Vorschriften,2013;;;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS (fdf),05.11.2013,AS,750/13,0,Zweite Verordnung zur Ìãnderung der Verordnung zur DurchfÌ_hrung des Tarifvertragsgesetzes,2013;;;;;;
"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,EU (fdf) - AV,05.11.2013,EU,749/13,0,""Benennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union (""""Expertengruppe fÌ_r lÌ_ndliche Entwicklung"""" der Kommission)"",2013";;;;;;
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,EU (fdf) - AV - Fz - In,04.11.2013,EU,748/13,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Verordnung (EG) Nr. 1166/2008 Ì_ber die Betriebsstrukturerhebungen und die Erhebung Ì_ber landwirtschaftliche Produktionsmethoden im Hinblick auf den Finanzrahmen fÌ_r den Zeitraum 2014 bis 2018,2013;;;;;;
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),01.11.2013,K,747/13,0,""Benennung eines stellvertretenden Mitglieds des Kuratoriums der Stiftung """"Haus der Geschichte der Bundesrepublik Deutschland"""""",2013";;;;;;
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,EU (fdf) - AS - K - Wi,31.10.2013,EU,746/13,0,Vorschlag fÌ_r einen Beschluss des Rates Ì_ber einen Dreigliedrigen Sozialgipfel fÌ_r Wachstum und BeschÌ_ftigung,2013;;;;;;
"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,AS (fdf) - Fz - In,30.10.2013,AS,745/13,0,""EntschlieÌÙung des Bundesrates """"Personalgestellung und Abordnung - Herausnahme der Ì¦ffentlich rechtlichen GebietskÌ¦rperschaften aus dem Anwendungsbereich des Gesetzes zur Regelung der ArbeitnehmerÌ_berlassung"""""",2013";;;;;;
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),15.11.2013,R,744/13,0,Verfahren vor dem Bundesverfassungsgericht,2013;;;;;;
,,,,,,,,,,,,,,,,30.10.2013,,743/13,,Entwurf eines Gesetzes zur Ìãnderung des Gesetzes Ì_ber Finanzhilfen des Bundes zum Ausbau der Tagesbetreuung fÌ_r Kinder und zur Ìãnderung des Kinderbetreuungsfinanzierungsgesetzes,2013;;;;;;
